Train_ID,Train_Number,Train_Name,Train_Type,Source_Station,Destination_Station,Distance_KM,Service_Frequency,Zone_Code,Start_Time,End_Time
121,12121,Jaipur Superfast Express,Superfast,SR01,SR06,1509,Weekly,NWR,17:44,03:49
122,12122,Secunderabad Mail Express,Mail,SR04,WC01,1323,Bi-weekly,SCR,07:30,22:51
123,12123,Bilaspur Passenger Express,Passenger,SR07,WC04,2014,Daily,SECR,10:47,08:41
124,12124,Kolkata Vande Bharat Express,Vande Bharat,WC02,WC07,1563,Weekly,SER,05:15,01:08
125,12125,Hubballi Express Express,Express,WC05,WR02,1085,Bi-weekly,SWR,10:09,09:36
126,12126,Chennai Superfast Express,Superfast,WC08,WR05,619,Daily,SR,07:22,11:21
127,12127,Jabalpur Mail Express,Mail,WR03,WR08,1789,Weekly,WCR,07:26,08:10
128,12128,Mumbai Passenger Express,Passenger,WR06,CR03,1670,Bi-weekly,WR,05:17,18:56
129,12129,Mumbai Vande Bharat Express,Vande Bharat,CR01,CR06,1636,Daily,CR,21:51,11:46
130,12130,Kolkata Express Express,Express,CR04,ER01,841,Weekly,ER,10:32,22:50
131,12131,Hajipur Superfast Express,Superfast,CR07,ER04,1215,Bi-weekly,ECR,15:12,18:33
132,12132,Bhubaneswar Mail Express,Mail,ER02,ER07,1315,Daily,ECoR,17:37,01:17
133,12133,New Delhi Passenger Express,Passenger,ER05,EC02,489,Weekly,NR,16:02,04:35
134,12134,Prayagraj Vande Bharat Express,Vande Bharat,ER08,EC05,1691,Bi-weekly,NCR,11:51,21:07
135,12135,Gorakhpur Express Express,Express,EC03,EC08,2289,Daily,NER,14:38,02:37
136,12136,Guwahati Superfast Express,Superfast,EC06,EC03,1763,Weekly,NFR,13:05,12:56
137,12137,Jaipur Mail Express,Mail,EC01,EC06,1758,Bi-weekly,NWR,03:57,22:10
138,12138,Secunderabad Passenger Express,Passenger,EC04,NR01,1938,Daily,SCR,09:35,10:46
139,12139,Bilaspur Vande Bharat Express,Vande Bharat,EC07,NR04,2392,Weekly,SECR,18:55,21:05
140,12140,Kolkata Express Express,Express,NR02,NR07,667,Bi-weekly,SER,16:35,01:05
141,12141,Hubballi Superfast Express,Superfast,NR05,NC02,1287,Daily,SWR,14:10,03:07
142,12142,Chennai Mail Express,Mail,NR08,NC05,1390,Weekly,SR,00:34,10:27
143,12143,Jabalpur Passenger Express,Passenger,NC03,NC08,1655,Bi-weekly,WCR,12:43,17:55
144,12144,Mumbai Vande Bharat Express,Vande Bharat,NC06,NE03,1934,Daily,WR,11:29,05:35
145,12145,Mumbai Express Express,Express,NE01,NE06,402,Weekly,CR,21:50,02:47
146,12146,Kolkata Superfast Express,Superfast,NE04,NF01,351,Bi-weekly,ER,16:05,11:39
147,12147,Hajipur Mail Express,Mail,NE07,NF04,1770,Daily,ECR,09:55,17:12
148,12148,Bhubaneswar Passenger Express,Passenger,NF02,NF07,1637,Weekly,ECoR,16:20,16:53
149,12149,New Delhi Vande Bharat Express,Vande Bharat,NF05,NW02,1975,Bi-weekly,NR,17:38,06:47
150,12150,Prayagraj Express Express,Express,NF08,NW05,924,Daily,NCR,12:18,07:09
151,12151,Gorakhpur Superfast Express,Superfast,NW03,NW08,2310,Weekly,NER,03:05,21:33
152,12152,Guwahati Mail Express,Mail,NW06,SC03,1095,Bi-weekly,NFR,16:22,02:43
153,12153,Jaipur Passenger Express,Passenger,SC01,SC06,488,Daily,NWR,12:56,21:21
154,12154,Secunderabad Vande Bharat Express,Vande Bharat,SC04,SE01,1890,Weekly,SCR,14:28,03:22
155,12155,Bilaspur Express Express,Express,SC07,SE04,1592,Bi-weekly,SECR,22:00,16:50
156,12156,Kolkata Superfast Express,Superfast,SE02,SE07,2286,Daily,SER,09:07,06:51
157,12157,Hubballi Mail Express,Mail,SE05,SE02,2116,Weekly,SWR,14:07,02:28
158,12158,Chennai Passenger Express,Passenger,SE08,SE05,1444,Bi-weekly,SR,00:41,12:00
159,12159,Jabalpur Vande Bharat Express,Vande Bharat,SE03,SE08,301,Daily,WCR,10:43,18:25
160,12160,Mumbai Express Express,Express,SE06,SW03,765,Weekly,WR,22:27,07:26
161,12161,Mumbai Superfast Express,Superfast,SW01,SW06,108,Bi-weekly,CR,06:30,21:44
162,12162,Kolkata Mail Express,Mail,SW04,SR01,1892,Daily,ER,12:06,08:59
163,12163,Hajipur Passenger Express,Passenger,SW07,SR04,182,Weekly,ECR,20:41,06:46
164,12164,Bhubaneswar Vande Bharat Express,Vande Bharat,SR02,SR07,2021,Bi-weekly,ECoR,00:06,15:59
165,12165,New Delhi Express Express,Express,SR05,WC02,135,Daily,NR,15:08,14:37
166,12166,Prayagraj Superfast Express,Superfast,SR08,WC05,289,Weekly,NCR,15:53,19:01
167,12167,Gorakhpur Mail Express,Mail,WC03,WC08,650,Bi-weekly,NER,05:27,03:51
168,12168,Guwahati Passenger Express,Passenger,WC06,WR03,1882,Daily,NFR,18:11,00:54
169,12169,Jaipur Vande Bharat Express,Vande Bharat,WR01,WR06,750,Weekly,NWR,15:54,00:00
170,12170,Secunderabad Express Express,Express,WR04,CR01,92,Bi-weekly,SCR,03:03,18:36
171,12171,Bilaspur Superfast Express,Superfast,WR07,CR04,2353,Daily,SECR,18:57,05:17
172,12172,Kolkata Mail Express,Mail,CR02,CR07,2050,Weekly,SER,05:03,15:48
173,12173,Hubballi Passenger Express,Passenger,CR05,ER02,2326,Bi-weekly,SWR,21:07,17:50
174,12174,Chennai Vande Bharat Express,Vande Bharat,CR08,ER05,1699,Daily,SR,18:50,10:02
175,12175,Jabalpur Express Express,Express,ER03,ER08,1138,Weekly,WCR,04:06,02:41
176,12176,Mumbai Superfast Express,Superfast,ER06,EC03,1250,Bi-weekly,WR,12:44,12:37
177,12177,Mumbai Mail Express,Mail,EC01,EC06,279,Daily,CR,19:26,03:48
178,12178,Kolkata Passenger Express,Passenger,EC04,EC01,1784,Weekly,ER,01:11,00:16
179,12179,Hajipur Vande Bharat Express,Vande Bharat,EC07,EC04,311,Bi-weekly,ECR,16:31,22:44
180,12180,Bhubaneswar Express Express,Express,EC02,EC07,1498,Daily,ECoR,11:03,01:36
181,12181,New Delhi Superfast Express,Superfast,EC05,NR02,90,Weekly,NR,00:13,20:27
182,12182,Prayagraj Mail Express,Mail,EC08,NR05,1726,Bi-weekly,NCR,09:10,08:05
183,12183,Gorakhpur Passenger Express,Passenger,NR03,NR08,1866,Daily,NER,04:22,22:35
184,12184,Guwahati Vande Bharat Express,Vande Bharat,NR06,NC03,1143,Weekly,NFR,12:47,05:38
185,12185,Jaipur Express Express,Express,NC01,NC06,2104,Bi-weekly,NWR,13:26,03:14
186,12186,Secunderabad Superfast Express,Superfast,NC04,NE01,2274,Daily,SCR,12:18,09:34
187,12187,Bilaspur Mail Express,Mail,NC07,NE04,1327,Weekly,SECR,16:15,14:26
188,12188,Kolkata Passenger Express,Passenger,NE02,NE07,2262,Bi-weekly,SER,03:08,10:30
189,12189,Hubballi Vande Bharat Express,Vande Bharat,NE05,NF02,1682,Daily,SWR,09:54,10:07
190,12190,Chennai Express Express,Express,NE08,NF05,356,Weekly,SR,22:08,21:16
191,12191,Jabalpur Superfast Express,Superfast,NF03,NF08,296,Bi-weekly,WCR,07:36,09:47
192,12192,Mumbai Mail Express,Mail,NF06,NW03,1497,Daily,WR,09:38,22:24
193,12193,Mumbai Passenger Express,Passenger,NW01,NW06,435,Weekly,CR,09:50,05:56
194,12194,Kolkata Vande Bharat Express,Vande Bharat,NW04,SC01,1444,Bi-weekly,ER,13:19,21:02
195,12195,Hajipur Express Express,Express,NW07,SC04,772,Daily,ECR,09:28,10:08
196,12196,Bhubaneswar Superfast Express,Superfast,SC02,SC07,603,Weekly,ECoR,02:34,08:33
197,12197,New Delhi Mail Express,Mail,SC05,SE02,1448,Bi-weekly,NR,16:32,14:35
198,12198,Prayagraj Passenger Express,Passenger,SC08,SE05,1593,Daily,NCR,14:18,05:47
199,12199,Gorakhpur Vande Bharat Express,Vande Bharat,SE03,SE08,875,Weekly,NER,12:11,09:31
200,12200,Guwahati Express Express,Express,SE06,SE03,1532,Bi-weekly,NFR,12:21,22:30
201,12201,Jaipur Superfast Express,Superfast,SE01,SE06,1955,Daily,NWR,16:33,20:07
202,12202,Secunderabad Mail Express,Mail,SE04,SW01,2216,Weekly,SCR,19:30,16:31
203,12203,Bilaspur Passenger Express,Passenger,SE07,SW04,703,Bi-weekly,SECR,18:14,07:31
204,12204,Kolkata Vande Bharat Express,Vande Bharat,SW02,SW07,2022,Daily,SER,08:29,00:06
205,12205,Hubballi Express Express,Express,SW05,SR02,209,Weekly,SWR,01:52,19:49
206,12206,Chennai Superfast Express,Superfast,SW08,SR05,208,Bi-weekly,SR,01:16,13:20
207,12207,Jabalpur Mail Express,Mail,SR03,SR08,1211,Daily,WCR,03:43,07:03
208,12208,Mumbai Passenger Express,Passenger,SR06,WC03,1803,Weekly,WR,20:00,10:49
209,12209,Mumbai Vande Bharat Express,Vande Bharat,WC01,WC06,1718,Bi-weekly,CR,19:24,08:42
210,12210,Kolkata Express Express,Express,WC04,WR01,436,Daily,ER,05:36,15:07
211,12211,Hajipur Superfast Express,Superfast,WC07,WR04,1259,Weekly,ECR,08:30,22:04
212,12212,Bhubaneswar Mail Express,Mail,WR02,WR07,2389,Bi-weekly,ECoR,10:46,09:18
213,12213,New Delhi Passenger Express,Passenger,WR05,CR02,1867,Daily,NR,15:08,16:45
214,12214,Prayagraj Vande Bharat Express,Vande Bharat,WR08,CR05,979,Weekly,NCR,21:38,07:00
215,12215,Gorakhpur Express Express,Express,CR03,CR08,1645,Bi-weekly,NER,04:45,12:28
216,12216,Guwahati Superfast Express,Superfast,CR06,ER03,459,Daily,NFR,16:09,09:50
217,12217,Jaipur Mail Express,Mail,ER01,ER06,2215,Weekly,NWR,22:57,12:12
218,12218,Secunderabad Passenger Express,Passenger,ER04,EC01,2026,Bi-weekly,SCR,18:59,14:08
219,12219,Bilaspur Vande Bharat Express,Vande Bharat,ER07,EC04,1246,Daily,SECR,10:50,09:19
220,12220,Kolkata Express Express,Express,EC02,EC07,265,Weekly,SER,19:45,00:26
221,12221,Hubballi Superfast Express,Superfast,EC05,EC02,1192,Bi-weekly,SWR,10:55,03:18
222,12222,Chennai Mail Express,Mail,EC08,EC05,499,Daily,SR,05:54,21:02
223,12223,Jabalpur Passenger Express,Passenger,EC03,EC08,1546,Weekly,WCR,05:11,06:11
224,12224,Mumbai Vande Bharat Express,Vande Bharat,EC06,NR03,1217,Bi-weekly,WR,22:35,16:29
225,12225,Mumbai Express Express,Express,NR01,NR06,112,Daily,CR,01:16,05:50
226,12226,Kolkata Superfast Express,Superfast,NR04,NC01,2037,Weekly,ER,19:38,12:38
227,12227,Hajipur Mail Express,Mail,NR07,NC04,1023,Bi-weekly,ECR,15:47,17:36
228,12228,Bhubaneswar Passenger Express,Passenger,NC02,NC07,214,Daily,ECoR,16:21,17:32
229,12229,New Delhi Vande Bharat Express,Vande Bharat,NC05,NE02,2124,Weekly,NR,07:55,19:19
230,12230,Prayagraj Express Express,Express,NC08,NE05,1199,Bi-weekly,NCR,12:46,15:51
231,12231,Gorakhpur Superfast Express,Superfast,NE03,NE08,938,Daily,NER,11:25,20:18
232,12232,Guwahati Mail Express,Mail,NE06,NF03,1442,Weekly,NFR,02:51,08:20
233,12233,Jaipur Passenger Express,Passenger,NF01,NF06,1432,Bi-weekly,NWR,11:50,12:31
234,12234,Secunderabad Vande Bharat Express,Vande Bharat,NF04,NW01,323,Daily,SCR,00:23,22:55
235,12235,Bilaspur Express Express,Express,NF07,NW04,1539,Weekly,SECR,14:23,04:00
236,12236,Kolkata Superfast Express,Superfast,NW02,NW07,866,Bi-weekly,SER,07:11,05:01
237,12237,Hubballi Mail Express,Mail,NW05,SC02,1490,Daily,SWR,21:41,10:25
238,12238,Chennai Passenger Express,Passenger,NW08,SC05,793,Weekly,SR,03:35,13:00
239,12239,Jabalpur Vande Bharat Express,Vande Bharat,SC03,SC08,1044,Bi-weekly,WCR,06:10,16:31
240,12240,Mumbai Express Express,Express,SC06,SE03,1550,Daily,WR,16:58,18:37
241,12241,Mumbai Superfast Express,Superfast,SE01,SE06,2119,Weekly,CR,10:59,17:39
242,12242,Kolkata Mail Express,Mail,SE04,SE01,2175,Bi-weekly,ER,11:43,06:57
243,12243,Hajipur Passenger Express,Passenger,SE07,SE04,1526,Daily,ECR,17:27,19:04
244,12244,Bhubaneswar Vande Bharat Express,Vande Bharat,SE02,SE07,344,Weekly,ECoR,11:43,18:26
245,12245,New Delhi Express Express,Express,SE05,SW02,1587,Bi-weekly,NR,12:57,15:25
246,12246,Prayagraj Superfast Express,Superfast,SE08,SW05,2329,Daily,NCR,02:59,03:17
247,12247,Gorakhpur Mail Express,Mail,SW03,SW08,1985,Weekly,NER,16:58,17:38
248,12248,Guwahati Passenger Express,Passenger,SW06,SR03,883,Bi-weekly,NFR,00:07,06:02
249,12249,Jaipur Vande Bharat Express,Vande Bharat,SR01,SR06,1258,Daily,NWR,17:57,11:52
250,12250,Secunderabad Express Express,Express,SR04,WC01,2366,Weekly,SCR,19:27,07:58
251,12251,Bilaspur Superfast Express,Superfast,SR07,WC04,641,Bi-weekly,SECR,09:04,18:38
252,12252,Kolkata Mail Express,Mail,WC02,WC07,276,Daily,SER,05:33,12:48
253,12253,Hubballi Passenger Express,Passenger,WC05,WR02,697,Weekly,SWR,21:26,18:14
254,12254,Chennai Vande Bharat Express,Vande Bharat,WC08,WR05,165,Bi-weekly,SR,01:22,21:02
255,12255,Jabalpur Express Express,Express,WR03,WR08,936,Daily,WCR,02:55,15:45
256,12256,Mumbai Superfast Express,Superfast,WR06,CR03,1734,Weekly,WR,15:46,00:51
257,12257,Mumbai Mail Express,Mail,CR01,CR06,1796,Bi-weekly,CR,17:23,18:22
258,12258,Kolkata Passenger Express,Passenger,CR04,ER01,193,Daily,ER,20:14,02:37
259,12259,Hajipur Vande Bharat Express,Vande Bharat,CR07,ER04,622,Weekly,ECR,19:26,00:57
260,12260,Bhubaneswar Express Express,Express,ER02,ER07,1273,Bi-weekly,ECoR,06:40,12:01
261,12261,New Delhi Superfast Express,Superfast,ER05,EC02,1842,Daily,NR,09:41,20:36
262,12262,Prayagraj Mail Express,Mail,ER08,EC05,1638,Weekly,NCR,05:14,09:51
263,12263,Gorakhpur Passenger Express,Passenger,EC03,EC08,1296,Bi-weekly,NER,08:46,19:54
264,12264,Guwahati Vande Bharat Express,Vande Bharat,EC06,EC03,773,Daily,NFR,16:35,10:23
265,12265,Jaipur Express Express,Express,EC01,EC06,345,Weekly,NWR,06:32,20:51
266,12266,Secunderabad Superfast Express,Superfast,EC04,NR01,515,Bi-weekly,SCR,15:05,15:20
267,12267,Bilaspur Mail Express,Mail,EC07,NR04,1123,Daily,SECR,16:25,18:32
268,12268,Kolkata Passenger Express,Passenger,NR02,NR07,2397,Weekly,SER,14:17,17:24
269,12269,Hubballi Vande Bharat Express,Vande Bharat,NR05,NC02,1319,Bi-weekly,SWR,03:07,13:11
270,12270,Chennai Express Express,Express,NR08,NC05,2394,Daily,SR,19:42,16:35
271,12271,Jabalpur Superfast Express,Superfast,NC03,NC08,219,Weekly,WCR,09:29,21:13
272,12272,Mumbai Mail Express,Mail,NC06,NE03,1232,Bi-weekly,WR,07:08,02:21
273,12273,Mumbai Passenger Express,Passenger,NE01,NE06,271,Daily,CR,01:21,04:33
274,12274,Kolkata Vande Bharat Express,Vande Bharat,NE04,NF01,120,Weekly,ER,06:27,22:38
